distance (# lamda),assume beam dir,actual beam dir,element1 phase,element2 phase,element3 phase,element4 phase
0.5,0.0,0.0,0.0,180.0,360.0,180.0
0.5,5.0,9.9,11.0,191.0,5.0,185.0
0.5,10.0,9.9,11.0,191.0,5.0,185.0
0.5,15.0,15.0,0.0,173.0,348.0,162.0
0.5,20.0,20.1,22.0,191.0,360.0,168.0
0.5,25.0,25.0,16.0,180.0,342.0,146.0
0.5,30.0,30.3,27.0,185.0,337.0,135.0
0.5,35.0,34.6,0.0,146.0,297.0,83.0
0.5,40.0,39.900000000000006,38.0,173.0,315.0,90.0
0.5,45.0,45.0,16.0,146.0,270.0,38.0
0.5,50.0,50.0,5.0,123.0,236.0,353.0
0.5,55.0,55.0,0.0,101.0,207.0,308.0
0.5,60.0,60.0,0.0,90.0,180.0,270.0
0.5,65.0,64.9,5.0,83.0,157.0,236.0
0.5,70.0,70.0,0.0,61.0,123.0,185.0
0.5,75.0,74.8,0.0,45.0,95.0,140.0
0.5,80.0,80.0,5.0,38.0,67.0,101.0
0.5,85.0,84.80000000000001,0.0,16.0,33.0,45.0
0.5,90.0,90.0,0.0,0.0,0.0,0.0
0.5,95.0,95.2,38.0,22.0,5.0,348.0
0.5,100.0,100.0,0.0,331.0,297.0,263.0
0.5,105.0,105.2,5.0,320.0,270.0,225.0
0.5,110.0,110.0,33.0,331.0,270.0,207.0
0.5,115.0,114.9,5.0,292.0,213.0,140.0
0.5,120.0,120.0,0.0,270.0,180.0,90.0
0.5,125.0,125.0,27.0,286.0,180.0,78.0
0.5,130.0,130.0,0.0,247.0,128.0,11.0
0.5,135.0,135.0,0.0,230.0,106.0,337.0
0.5,140.0,140.1,0.0,225.0,83.0,308.0
0.5,145.0,145.4,27.0,241.0,90.0,303.0
0.5,150.0,149.70000000000002,0.0,202.0,50.0,252.0
0.5,155.0,155.0,11.0,207.0,45.0,241.0
0.5,160.0,159.9,0.0,191.0,22.0,213.0
0.5,165.0,165.0,38.0,225.0,50.0,236.0
0.5,170.0,169.9,0.0,185.0,5.0,191.0
0.5,175.0,170.10000000000002,5.0,185.0,11.0,191.0
0.5,180.0,0.0,0.0,180.0,0.0,180.0
